,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
20,DEPTHWISE_CONV_2D,202,3200.0,0.0053329137,0.00019379493,0.024233073,2.8505636e-05,0.023529412,-128,EfficientNetV2/stage2.mbconv1.dp.act/Relu6;EfficientNetV2/stage2.mbconv1.dp.bn/FusedBatchNormV3;EfficientNetV2/stage2.mbconv1.se.ex.conv/Conv2D;EfficientNetV2/stage2.mbconv1.dp/depthwise,6.00000006,0.22691034351750894
21,MAX_POOL_2D,206,1600.0,0.0,0.0,0.0,0.0,0.023529412,-128,EfficientNetV2/max_pooling2d_1/MaxPool,6.00000006,0.0
22,MEAN,210,32.0,0.0015717697,-0.0005500798,0.0031602,2.8709292e-06,0.0055551017,-128,EfficientNetV2/stage2.mbconv1.se.pool/Mean,1.4165509335,0.30501361606476257
23,CONV_2D,214,8.0,0.0022555785,-0.0014216705,0.0058211447,7.68289e-06,0.005981403,-128,EfficientNetV2/stage2.mbconv1.se.sq.act/Relu6;EfficientNetV2/stage2.mbconv1.se.sq.conv/BiasAdd;EfficientNetV2/stage2.mbconv1.se.sq.conv/Conv2D;EfficientNetV2/stage2.mbconv1.se.sq.conv/BiasAdd/ReadVariableOp,1.5252577649999999,0.4634034293506866
24,CONV_2D,218,32.0,0.0009969581,1.9023186e-05,0.0019317889,1.0331156e-06,0.0033664617,-128,EfficientNetV2/stage2.mbconv1.se.ex.act/Add;EfficientNetV2/stage2.mbconv1.se.ex.act/Mul;EfficientNetV2/stage2.mbconv1.se.ex.conv/BiasAdd/ReadVariableOp;EfficientNetV2/stage2.mbconv1.se.ex.conv/BiasAdd;EfficientNetV2/stage1.mbconv1.se.ex.act/Const;EfficientNetV2/stage1.mbconv1.se.ex.act/Const_1;EfficientNetV2/stage2.mbconv1.se.ex.conv/Conv2D,0.8584477335,0.301926186614269
25,MINIMUM,222,32.0,0.0,0.0,0.0,0.0,0.0033664617,-128,EfficientNetV2/stage2.mbconv1.se.ex.act/clip_by_value/Minimum,0.8584477335,0.0
26,RELU,226,32.0,0.0,0.0,0.0,0.0,0.0033664617,-128,EfficientNetV2/stage2.mbconv1.se.ex.act/clip_by_value,0.8584477335,0.0
27,MUL,230,1600.0,0.0039124796,0.00010013887,0.008055916,1.5336806e-05,0.01604484,-128,EfficientNetV2/multiply_2/mul,4.0914342,0.2440799307387133
28,CONV_2D,234,2400.0,0.01859443,0.00069024076,0.051942926,0.00034643605,0.061881,3,EfficientNetV2/stage2.mbconv1.red.bn/FusedBatchNormV3;EfficientNetV2/stage3.mbconv1.se.ex.conv/Conv2D;EfficientNetV2/stage2.mbconv1.red.conv/Conv2D,15.779655,0.30078364350560877
29,DEPTHWISE_CONV_2D,238,2400.0,0.00522029,0.00016834932,0.02176934,2.7309557e-05,0.023529412,-128,EfficientNetV2/stage3.mbconv1.dp.act/Relu6;EfficientNetV2/stage3.mbconv1.dp.bn/FusedBatchNormV3;EfficientNetV2/stage3.mbconv1.se.ex.conv/Conv2D;EfficientNetV2/stage3.mbconv1.dp/depthwise,6.00000006,0.2220988211240489
